MSFT
AAPL
AMZN
GOOGL
IDCBY
FB
BABA
BRK.A
BRK.B
VOD
TCEHY
V
JPM
JNJ
WMT
NSRGY
NSRGF
MA
SSNLF
PG
RHHVF
TSM
CHT
BAC
T
HD
INTC
UNH
KO
IDCBF
VZ
RHHBY
DIS
XOM
LVMUY
MRK
PIAIF
NVS
CICHF
CMCSA
PEP
TM
PFE
WFC
CVX
CSCO
BA
CHLKF
ADBE
CHL
ORCL
NVDA
MCD
CRM
NFLX
SAP
LRLCY
TSLA
C
BMY
MDT
ABT
NKE
ACGBF
HSBC
COST
PM
NEE
ABBV
LLY
ACN
PYPL
SNYNF
IBM
TMO
AMGN
AZN
SNY
UTX
BHPLF
PROSY
HON
ASML
PROSF
UNP
AAGIY
AAIGF
BACHF
CIHHF
TOT
AVGO
LMT
RTNTF
RY
TXN
BP
NVO
CHTR
LIN
BUD
AMT
DHR
EADSY
EADSF
GSK
HDB
TD
SFTBY
CMWAY
GE
SFTBF
AXP
SBUX
CSLLY
CMXHF
RDS.A
BTI
QCOM
DGEAF
DCMYY
NTDMF
NTTYY
DEO
GILD
FIS
SHI
NPPXF
LOW
SIEGY
MMM
CVS
MDLZ
KYCCF
TMUS
ENB
UPS
DTEGY
SBRCY
OGZPY
MO
CME
BLK
SNE
USB
MS
SYK
SNEJF
GS
FISV
PCCYF
UN
HESAF
MPNGF
INTU
NVGI
HESAY
NAPRF
NPSNY
IBDRY
D
DUK
TJX
BKNG
ADP
CB
CAT
OJSCY
SO
CI
KDDIF
BAYRY
KDDIY
CILJF
SPGI
BHP
TFC
EL
CCI
PLD
ANTM
BX
BDX
AIQUY
BNS
UL
BNPQY
MBFJF
ISRG
ZTS
CEO
BAM
AGN
RIO
CNI
SNPMF
NOW
CL
RCRRF
MUFG
SAN
UBER
ESLOY
PNC
WEBNF
ZFSVF
ZURVY
HEINY
VRTX
VMW
LUKOY
TKPHF
AXAHY
CSX
PBCRF
COP
WBK
MU
GPN
SBGSY
NOC
ABEV
MMC
SAFRY
RTN
ITW
TGT
BASFY
TAK
BIIB
RBGLY
ADDYY
NOVKY
ECL
AMXVF
AMD
BSX
CHGCF
SHOP
AMAT
EQIX
SCHW
EQNR
VALE
DE
TRP
EPD
APD
WMMVY
WM
NILSY
AON
NAUBF
ICE
SHW
WMMVF
REGN
GD
NSC
FRCOF
ANEWF
SHECF
NABZY
VWAGY
RELX
SMFNF
ANZBY
MCO
AEP
PBR
ABB
JD
KMB
DANOY
PUK
INFY
PGR
EW
IBN
NGG
KMI
EXC
LHX
LYG
E
LVS
BMO
ATVI
DBSDF
DDAIF
GM
HMC
HCA
CHWRF
SU
DBSDY
BAX
SUHJF
CHVKF
DNNGY
HNDAF
